,rank,title,website,employees,sector,industry,hqlocation,hqaddr,hqcity,hqstate,hqzip,hqtel,ceo,ceo_title,address,ticker,fullname,revenues,revchange,profits,prftchange,assets,totshequity,uid
214,215,Kinder Morgan,http://www.kindermorgan.com,11121,Energy,Pipelines,"Houston, TX",1001 Louisiana St.,Houston,TX,77002,713-369-9000,Steven J. Kean,"President, Chief Executive Officer & Director","1001 Louisiana St., Houston, TX 77002",KMI,"Kinder Morgan, Inc.",13058,-9.3,708.0,179.8,80305,34431.0,3a244d775cec737e737579e8f5ed9d2a
215,216,Kellogg,http://www.kelloggcompany.com,37369,"Food, Beverages & Tobacco",Food Consumer Products,"Battle Creek, MI",1 Kellogg Sq.,Battle Creek,MI,49017,269-961-2000,John A. Bryant,Chairman & Chief Executive Officer,"1 Kellogg Sq., Battle Creek, MI 49017",K,Kellogg Company,13014,-3.8,694.0,13.0,15111,1910.0,d8b8c688a5295041b202b96c7b83fc17
216,217,Western Digital,http://www.westerndigital.com,72878,Technology,Computer Peripherals,"Irvine, CA",3355 Michelson Dr.,Irvine,CA,92612,949-672-7000,Stephen D. Milligan,Chief Executive Officer & Director,"3355 Michelson Dr., Irvine, CA 92612",WDC,Western Digital Corporation,12994,-10.8,242.0,-83.5,32862,11145.0,e036f5d4ada21f36c389844fb38cb5f7
217,218,Guardian Life Ins. Co. of America,http://www.guardianlife.com,8876,Financials,"Insurance: Life, Health (Mutual)","New York, NY",7 Hanover Sq.,New York,NY,10004,212-598-8000,Deanna M. Mulligan,"President, Chief Executive Officer & Director","7 Hanover Sq., New York, NY 10004",WDC,Guardian Life Ins. Co. of America,12919,2.3,263.9,-35.7,70339,6172.5,03f62ca2c02e3b6974f07180f717f980
218,219,Ross Stores,http://www.rossstores.com,78600,Retailing,Specialty Retailers: Apparel,"Dublin, CA",5130 Hacienda Dr.,Dublin,CA,94568,925-965-4400,Barbara Rentler,Chief Executive Officer & Director,"5130 Hacienda Dr., Dublin, CA 94568",ROST,"Ross Stores, Inc.",12867,7.8,1117.7,9.5,5309,2748.0,744338e10ae7e3b973893662e8ceb8f0
219,220,L Brands,http://www.lb.com,59100,Retailing,Specialty Retailers: Apparel,"Columbus, OH",3 Limited Pkwy.,Columbus,OH,43230,614-415-7000,Leslie H. Wexner,Chairman & Chief Executive Officer,"3 Limited Pkwy., Columbus, OH 43230",LB,"L Brands, Inc.",12574,3.5,1158.1,-7.6,8170,-729.0,700733710126320bc4434781f8de293f
220,221,J.C. Penney,http://www.jcpenney.com,106000,Retailing,General Merchandisers,"Plano, TX",6501 Legacy Dr.,Plano,TX,75024,972-431-1000,Marvin R. Ellison,Chairman & Chief Executive Officer,"6501 Legacy Dr., Plano, TX 75024",JCP,"J.C. Penney Company, Inc.",12547,-0.6,1.0,-7.6,9314,1354.0,d5eb279f0cb4c14d49a1fe1068be5e0a
221,222,Farmers Insurance Exchange,http://www.farmers.com,13309,Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, CA",6301 Owensmouth Ave.,Woodland Hills,CA,91367,323-932-3200,Jeffrey J. Dailey,Chief Executive Officer & Director,"6301 Owensmouth Ave., Woodland Hills, CA 91367",JCP,Farmers Insurance Exchange,12513,-0.9,-147.9,-7.6,16057,4219.0,aa3f72fbacea2cb7c18d62b2d94904d8
222,223,Reynolds American,http://www.reynoldsamerican.com,5525,"Food, Beverages & Tobacco",Tobacco,"Winston-Salem, NC",401 N. Main St.,Winston-Salem,NC,27101,336-741-2000,Debra A. Crew,"President, Chief Executive Officer & Director","401 N. Main St., Winston-Salem, NC 27101",RAI,Reynolds American Inc.,12503,17.1,6073.0,86.7,51095,21711.0,70a64c549de2781c8ac29c6bece41b96
223,224,Viacom,http://www.viacom.com,9650,Media,Entertainment,"New York, NY",1515 Broadway,New York,NY,10036,212-258-6000,Robert Bakish,"President, Chief Executive Officer & Director","1515 Broadway, New York, NY 10036",VIAB,Viacom Inc.,12488,-5.9,1438.0,-25.2,22508,4277.0,8cc8574032bdb60e9621b82891605f87
224,225,Becton Dickinson,http://www.bd.com,50928,Health Care,Medical Products and Equipment,"Franklin Lakes, NJ",1 Becton Dr.,Franklin Lakes,NJ,7417,201-847-6800,Vincent A. Forlenza,Chairman & Chief Executive Officer,"1 Becton Dr., Franklin Lakes, NJ 07417",BDX,"Becton, Dickinson and Company",12483,21.4,976.0,40.4,25586,7633.0,a550f019891da8dcbe1e208b03185a99
225,226,Micron Technology,http://www.micron.com,31400,Technology,Semiconductors and Other Electronic Components,"Boise, ID",8000 S. Federal Way,Boise,ID,83716,208-368-4000,Sanjay Mehrotra,"President, Chief Executive Officer & Director","8000 S. Federal Way, Boise, ID 83716",MU,"Micron Technology, Inc.",12399,-23.4,-276.0,-109.5,27540,12080.0,89385213ac7a29f6d7fd902d26fb3645
226,227,Principal Financial,http://www.principal.com,14854,Financials,"Insurance: Life, Health (Stock)","Des Moines, IA",711 High St.,Des Moines,IA,50392,515-247-5111,Daniel J. Houston,"Chairman, President & Chief Executive Officer","711 High St., Des Moines, IA 50392",PFG,"Principal Financial Group, Inc.",12394,3.6,1316.5,6.7,228014,10227.0,c9681b06990ee35a86ff724dd0ce3e8f
227,228,Arconic,http://www.arconic.com,41500,Aerospace & Defense,Aerospace and Defense,"New York, NY",390 Park Ave.,New York,NY,10022,212-836-2758,David P. Hess,Interim Chief Executive Officer & Director,"390 Park Ave., New York, NY 10022",ARNC,Arconic Inc.,12394,-45.0,-941.0,6.7,20038,5115.0,e470cab461be6fb767c6a4f2656c9942
228,229,NRG Energy,http://www.nrg.com,8763,Energy,Energy,"Princeton, NJ",804 Carnegie Center,Princeton,NJ,8540,609-524-4500,Mauricio Gutierrez,"President, Chief Executive Officer & Director","804 Carnegie Center, Princeton, NJ 08540",NRG,"NRG Energy, Inc.",12351,-15.8,-774.0,6.7,30355,2041.0,80797a9910fa08eedbffac0388a290a3
229,230,VF,http://www.vfc.com,69000,Apparel,Apparel,"Greensboro, NC",105 Corporate Center Blvd.,Greensboro,NC,27408,336-424-6000,Steven E. Rendle,"President, Chief Executive Officer & Director","105 Corporate Center Blvd., Greensboro, NC 27408",VFC,V.F. Corporation,12207,-1.4,1074.1,-12.8,9739,4941.0,2489a3fe6ebf820eeabc4ee09d35fc7b
230,231,Devon Energy,http://www.devonenergy.com,3545,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",333 W. Sheridan Ave.,Oklahoma City,OK,73102,405-235-3611,David A. Hager,"President, Chief Executive Officer & Director","333 W. Sheridan Ave., Oklahoma City, OK 73102",DVN,Devon Energy Corporation,12197,-7.2,-3302.0,-12.8,25913,5927.0,503b575ba7eedfa35b445bc47001e336
231,232,D.R. Horton,http://www.drhorton.com,6976,Engineering & Construction,Homebuilders,"Fort Worth, TX",301 Commerce St.,Fort Worth,TX,76102,817-390-8200,David V. Auld,"President, Chief Executive Officer & Director","301 Commerce St., Fort Worth, TX 76102",DHI,"D.R. Horton, Inc.",12157,12.3,886.3,18.1,11559,6793.0,7e3f7f0b901b6749bb8da04a288c2012
232,233,Bed Bath & Beyond,http://www.bedbathandbeyond.com,62000,Retailing,Specialty Retailers: Other,"Union, NJ",650 Liberty Ave.,Union,NJ,7083,908-688-0888,Steven H. Temares,Chief Executive Officer & Director,"650 Liberty Ave., Union, NJ 07083",BBBY,Bed Bath & Beyond Inc.,12104,1.9,841.5,-12.1,6499,2560.0,fba38686d0ad0519aa0244910b7cf316
233,234,Consolidated Edison,http://www.conedison.com,14960,Energy,Utilities: Gas and Electric,"New York, NY",4 Irving Place,New York,NY,10003,212-460-4600,John McAvoy,Chairman & Chief Executive Officer,"4 Irving Place, New York, NY 10003",ED,"Consolidated Edison, Inc.",12075,-3.8,1245.0,4.4,48255,14298.0,2dd1868b6b01c34ce1cd5aab85743b7b
234,235,Edison International,http://www.edisoninvestor.com,12390,Energy,Utilities: Gas and Electric,"Rosemead, CA",2244 Walnut Grove Ave.,Rosemead,CA,91770,626-302-2222,Pedro J. Pizarro,"President, Chief Executive Officer & Director","2244 Walnut Grove Ave., Rosemead, CA 91770",EIX,Edison International,11869,3.0,1311.0,28.5,51319,11996.0,9a90a4afdea2976d05cc2670676ef0a1
235,236,Sherwin-Williams,http://www.sherwin.com,42550,Chemicals,Chemicals,"Cleveland, OH",101 W. Prospect Ave.,Cleveland,OH,44115,216-566-2000,John G. Morikis,"Chairman, President & Chief Executive Officer","101 W. Prospect Ave. , Cleveland, OH 44115",SHW,The Sherwin-Williams Company,11856,4.6,1132.7,7.5,6753,1878.0,d4c4a295195ded7057abcb2469445ab0
236,237,NGL Energy Partners,http://www.nglenergypartners.com,3200,Energy,Energy,"Tulsa, OK",6120 S. Yale Ave.,Tulsa,OK,74136,918-481-1119,H. Michael Krimbill,Chief Executive Officer & Director,"6120 S. Yale Ave., Tulsa, OK 74136",NGL,NGL Energy Partners LP,11742,-30.1,-198.9,-633.2,5560,1656.0,eb7f4e40b2bb96d1c1390d2c66795487
237,238,Dominion Energy,http://www.dominionenergy.com,16200,Energy,Utilities: Gas and Electric,"Richmond, VA",120 Tredegar St.,Richmond,VA,23219,804-819-2000,Thomas F. Farrell II,"Chairman, President & Chief Executive Officer","120 Tredegar St., Richmond, VA 23219",D,"Dominion Energy, Inc.",11737,0.5,2123.0,11.8,71610,14605.0,6c426b5a6c0f2e16654aefb0da264b1d
238,239,Ameriprise Financial,http://www.ameriprise.com,13195,Financials,Diversified Financials,"Minneapolis, MN",55 Ameriprise Financial Center,Minneapolis,MN,55474,612-671-3131,James M. Cracchiolo,Chairman & Chief Executive Officer,"55 Ameriprise Financial Center, Minneapolis, MN 55474",AMP,"Ameriprise Financial, Inc.",11735,-3.8,1314.0,-15.9,139821,6292.0,667e78a11677fdd439047b819b06f748
239,240,ADP,http://www.adp.com,57000,Business Services,Diversified Outsourcing Services,"Roseland, NJ",1 ADP Blvd.,Roseland,NJ,7068,973-974-5000,Carlos A. Rodriguez,"President, Chief Executive Officer & Director","1 ADP Blvd., Roseland, NJ 07068",ADP,"Automatic Data Processing, Inc.",11668,1.7,1492.5,2.8,43670,4482.0,fc701e4dc2dd3d23b36f5adaed8e6171
240,241,Hilton Worldwide Holdings,http://www.hiltonworldwide.com,169000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","McLean, VA",7930 Jones Branch Dr.,McLean,VA,22102,703-883-1000,Christopher J. Nassetta,"President, Chief Executive Officer & Director","7930 Jones Branch Dr., McLean, VA 22102",HLT,Hilton Worldwide Holdings Inc.,11663,3.5,348.0,-75.2,26211,5899.0,008b30143fd648d4b9ec100fb2c09f52
241,242,First Data,http://www.firstdata.com,24000,Business Services,Financial Data Services,"Atlanta, GA",5565 Glenridge Connector N.E.,Atlanta,GA,30342,404-890-2000,Frank J. Bisignano,Chairman & Chief Executive Officer,"5565 Glenridge Connector N.E., Atlanta, GA 30342",FDC,First Data Corporation,11584,1.2,420.0,-75.2,40292,1220.0,664eabaaa9ba49be280cf5a4e638f48a
242,243,Henry Schein,http://www.henryschein.com,21000,Wholesalers,Wholesalers: Health Care,"Melville, NY",135 Duryea Rd.,Melville,NY,11747,631-843-5500,Stanley M. Bergman,Chairman & Chief Executive Officer,"135 Duryea Rd., Melville, NY 11747",HSIC,"Henry Schein, Inc.",11572,8.9,506.8,5.8,6730,2793.0,34ccaba8329845ecbc4780a9e89835ba
243,244,Toys “R” Us,http://www.toysrusinc.com,64000,Retailing,Specialty Retailers: Other,"Wayne, NJ",1 Geoffrey Way,Wayne,NJ,7470,973-617-3500,David A. Brandon,Chairman & Chief Executive Officer,"1 Geoffrey Way, Wayne, NJ 07470",HSIC,"Toys ""R"" Us, Inc.",11540,-2.2,-36.0,5.8,6908,-1292.0,97dd691ff1da4b878d270c9484c3d62d
244,245,BB&T Corp.,http://www.bbt.com,37500,Financials,Commercial Banks,"Winston-Salem, NC",200 W. Second St.,Winston-Salem,NC,27101,336-733-2000,Kelly S. King,Chairman & Chief Executive Officer,"200 W. Second St., Winston-Salem, NC 27101",BBT,BB&T Corporation,11538,11.5,2426.0,16.4,219276,29881.0,89ee370dc4f4e100be0ab70b25b3ccd7
245,246,Reinsurance Group of America,http://www.rgare.com,2371,Financials,"Insurance: Life, Health (Stock)","Chesterfield, MO",16600 Swingley Ridge Rd.,Chesterfield,MO,63017,636-736-7000,Anna Manning,"President, Chief Executive Officer & Director","16600 Swingley Ridge Rd., Chesterfield, MO 63017",RGA,"Reinsurance Group of America, Incorporated",11522,10.6,701.4,39.7,53098,7093.1,b9575044c9be11c16ca19db81f6aa5f5
246,247,Core-Mark Holding,http://www.core-mark.com,7688,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, CA",395 Oyster Point Blvd.,South San Francisco,CA,94080,650-589-9445,Thomas B. Perkins,"President, Chief Executive Officer & Director","395 Oyster Point Blvd., South San Francisco, CA 94080",CORE,"Core-Mark Holding Company, Inc.",11507,29.9,54.2,5.2,1497,530.0,385e5d896c90d1508c425e77cc1c5072
247,248,Biogen,http://www.biogen.com,7400,Health Care,Pharmaceuticals,"Cambridge, MA",225 Binney St.,Cambridge,MA,2142,617-679-2000,Michel Vounatsos,Chief Executive Officer & Director,"225 Binney St., Cambridge, MA 02142",BIIB,Biogen Inc.,11449,6.4,3702.8,4.4,22877,12140.0,8275ae5225ec9735a9810566948e4f7e
248,249,Las Vegas Sands,http://www.sands.com,49000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",3355 Las Vegas Blvd. S.,Las Vegas,NV,89109,702-414-1000,Sheldon G. Adelson,Chairman & Chief Executive Officer,"3355 Las Vegas Blvd. S., Las Vegas, NV 89109",LVS,Las Vegas Sands Corp.,11410,-2.4,1670.0,-15.1,20469,6177.0,6d036198ccc447fe6c48e64256314842
249,250,Stanley Black & Decker,http://www.stanleyblackanddecker.com,54023,Household Products,"Home Equipment, Furnishings","New Britain, CT",1000 Stanley Dr.,New Britain,CT,6053,860-225-5111,James M. Loree,"President, Chief Executive Officer & Director","1000 Stanley Dr., New Britain, CT 06053",SWK,"Stanley Black & Decker, Inc.",11407,1.7,965.3,9.2,15635,6367.0,48153fcee21216984f561f9625be590f
250,251,Parker-Hannifin,http://www.parker.com,48950,Industrials,Industrial Machinery,"Cleveland, OH",6035 Parkland Blvd.,Cleveland,OH,44124,216-896-3000,Thomas L. Williams,Chairman & Chief Executive Officer,"6035 Parkland Blvd., Cleveland, OH 44124",PH,Parker-Hannifin Corporation,11361,-10.6,806.8,-20.3,12057,4575.0,b072194735ba4c361733015273ce88e6
251,252,Stryker,http://www.stryker.com,33000,Health Care,Medical Products and Equipment,"Kalamazoo, MI",2825 Airview Blvd.,Kalamazoo,MI,49002,269-385-2600,Kevin A. Lobo,Chairman & Chief Executive Officer,"2825 Airview Blvd., Kalamazoo, MI 49002",SYK,Stryker Corporation,11325,13.9,1647.0,14.5,20435,9550.0,777068941c10bc7fd43b42730ef207d1
252,253,Estee Lauder,http://www.elcompanies.com,46000,Household Products,Household and Personal Products,"New York, NY",767 Fifth Ave.,New York,NY,10153,212-572-4200,Fabrizio Freda,"President, Chief Executive Officer & Director","767 Fifth Ave., New York, NY 10153",EL,The Estee Lauder Companies Inc.,11262,4.5,1114.6,2.4,9223,3572.0,4fecbf3e43ffea5d324e05ab67d1d14b
253,254,Celgene,http://www.celgene.com,7132,Health Care,Pharmaceuticals,"Summit, NJ",86 Morris Ave.,Summit,NJ,7901,908-673-9000,Mark J. Alles,Chief Executive Officer & Director,"86 Morris Ave., Summit, NJ 07901",CELG,Celgene Corporation,11229,21.3,1999.2,24.8,28086,6599.0,afb843f8ac26fb00cd0aa21297af87e3
254,255,BlackRock,http://www.blackrock.com,13000,Financials,Securities,"New York, NY",55 E. 52nd St.,New York,NY,10055,212-810-5300,Laurence D. Fink,Chairman & Chief Executive Officer,"55 E. 52nd St., New York, NY 10055",BLK,"BlackRock, Inc.",11155,-2.2,3172.0,-5.2,220177,29098.0,2139a7ab4bdb157e3adc69432437c166
255,256,Xcel Energy,http://www.xcelenergy.com,11476,Energy,Utilities: Gas and Electric,"Minneapolis, MN",414 Nicollet Mall,Minneapolis,MN,55401,612-330-5500,Benjamin G.S. Fowke III,"Chairman, President & Chief Executive Officer","414 Nicollet Mall, Minneapolis, MN 55401",XEL,Xcel Energy Inc.,11107,0.7,1123.4,14.1,41155,11021.0,f88b604aefa9bf25f850a88a367564e9
256,257,CSX,http://www.csx.com,26628,Transportation,Railroads,"Jacksonville, FL",500 Water St.,Jacksonville,FL,32202,904-359-3200,E. Hunter Harrison,"President, Chief Executive Officer & Director","500 Water St., Jacksonville, FL 32202",CSX,CSX Corporation,11069,-6.3,1714.0,-12.9,35414,11679.0,0e4c2924ee84d760a5c2d3687ad8ed38
257,258,Unum Group,http://www.unum.com,9400,Financials,"Insurance: Life, Health (Stock)","Chattanooga, TN",1 Fountain Sq.,Chattanooga,TN,37402,423-294-1011,Richard P. McKenney,"President, Chief Executive Officer & Director","1 Fountain Sq., Chattanooga, TN 37402",UNM,Unum Group,11047,2.9,931.4,7.4,61942,8968.0,17aaceb8bf84b189683c218f425ee9d5
258,259,Jacobs Engineering Group,http://www.jacobs.com,49350,Engineering & Construction,"Engineering, Construction","Dallas, TX",1999 Bryan St.,Dallas,TX,75201,214-583-8500,Steven J. Demetriou,"Chairman, President & Chief Executive Officer","1999 Bryan St., Dallas, TX 75201",JEC,Jacobs Engineering Group Inc.,10964,-9.5,210.5,-30.5,7360,4265.0,908f2883925b53369c9cb752679e8fca
259,260,Lennar,http://www.lennar.com,8335,Engineering & Construction,Homebuilders,"Miami, FL",700 N.W. 107th Ave.,Miami,FL,33172,305-559-4000,Stuart A. Miller,Chief Executive Officer & Director,"700 N.W. 107th Ave., Miami, FL 33172",LEN,Lennar Corporation,10950,15.6,911.8,13.6,15362,7026.0,e53a698152bfe0c8378207093e3ecebf
260,261,Group 1 Automotive,http://www.group1auto.com,13500,Retailing,"Automotive Retailing, Services","Houston, TX",800 Gessner Rd.,Houston,TX,77024,713-647-5700,Earl J. Hesterberg,"President, Chief Executive Officer & Director","800 Gessner Rd., Houston, TX 77024",GPI,"Group 1 Automotive, Inc.",10888,2.4,147.1,56.5,4462,930.0,3dd702eda4597547858dd3ca28ed6ae1
261,262,Leucadia National,http://www.leucadia.com,13000,Financials,Diversified Financials,"New York, NY",520 Madison Ave.,New York,NY,10022,212-460-1900,Richard B. Handler,Chief Executive Officer & Director,"520 Madison Ave., New York, NY 10022",LUK,Leucadia National Corporation,10875,-6.9,130.0,-54.2,45071,10128.0,60ab4769cbf25982eb5bafb7d3d9c52c
262,263,Entergy,http://www.entergy.com,13513,Energy,Utilities: Gas and Electric,"New Orleans, LA",639 Loyola Ave.,New Orleans,LA,70113,504-576-4000,Leo P. Denault,Chairman & Chief Executive Officer,"639 Loyola Ave., New Orleans, LA 70113",ETR,Entergy Corporation,10846,-5.8,-583.6,-54.2,45904,8082.0,6a1a3b32bc1560cf771d00b35dac9800
263,264,PayPal Holdings,http://www.paypal.com,18100,Business Services,Financial Data Services,"San Jose, CA",2211 N. First St.,San Jose,CA,95131,408-967-1000,Daniel H. Schulman,"President, Chief Executive Officer & Director","2211 N. First St., San Jose, CA 95131",PYPL,"PayPal Holdings, Inc.",10842,17.2,1401.0,14.1,33103,14712.0,8bc3731380c5032b3918314bac398a5e
264,265,Applied Materials,http://www.appliedmaterials.com,16150,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",3050 Bowers Ave.,Santa Clara,CA,95054,408-727-5555,Gary E. Dickerson,"President, Chief Executive Officer & Director","3050 Bowers Ave., Santa Clara, CA 95054",AMAT,"Applied Materials, Inc.",10825,12.1,1721.0,25.0,14588,7217.0,ba5eac55777a81adfa99c733cc3d269e
265,266,Voya Financial,http://www.voya.com,6700,Financials,Diversified Financials,"New York, NY",230 Park Ave.,New York,NY,10169,212-309-8200,Rodney O. Martin Jr.,Chairman & Chief Executive Officer,"230 Park Ave., New York, NY 10169",VOYA,"Voya Financial, Inc.",10782,-4.9,-428.0,-204.8,214235,12994.0,32da4c656bc45a39965ac921fc0618c3
266,267,Mastercard,http://www.mastercard.com,11900,Business Services,Financial Data Services,"Purchase, NY",2000 Purchase St.,Purchase,NY,10577,914-249-2000,Ajay Banga,"President, Chief Executive Officer & Director","2000 Purchase St., Purchase, NY 10577",MA,Mastercard Incorporated,10776,11.5,4059.0,6.6,18675,5656.0,589a60a16561648c5af96a49afe6a42a
267,268,Priceline Group,http://www.pricelinegroup.com,18500,Technology,Internet Services and Retailing,"Norwalk, CT",800 Connecticut Ave.,Norwalk,CT,6854,203-299-8000,Glenn D. Fogel,"President, Chief Executive Officer & Director","800 Connecticut Ave., Norwalk, CT 06854",PCLN,The Priceline Group Inc.,10743,16.5,2135.0,-16.3,19839,9820.0,71db984a64fb5e23e0f0b1d5ebd36db2
268,269,Liberty Interactive,http://www.libertyinteractive.com,21080,Retailing,Internet Services and Retailing,"Englewood, CO",12300 Liberty Blvd.,Englewood,CO,80112,720-875-5300,Gregory B. Maffei,"President, Chief Executive Officer & Director","12300 Liberty Blvd., Englewood, CO 80112",QVCA,Liberty Interactive Corporation,10647,6.6,1235.0,42.1,20355,6772.0,39a8079500aa4a9b77571a721dd83f2d
269,270,AutoZone,http://www.autozone.com,66780,Retailing,Specialty Retailers: Other,"Memphis, TN",123 S. Front St.,Memphis,TN,38103,901-495-6500,William C. Rhodes III,"Chairman, President & Chief Executive Officer","123 S. Front St., Memphis, TN 38103",AZO,"AutoZone, Inc.",10636,4.4,1241.0,7.0,8600,-1788.0,19c2a21ccfd973b6a82dffbeb5d57f6f
270,271,State Street Corp.,http://www.statestreet.com,33783,Financials,Commercial Banks,"Boston, MA",1 Lincoln St.,Boston,MA,2111,617-786-3000,Joseph L. Hooley,Chairman & Chief Executive Officer,"1 Lincoln St., Boston, MA 02111",STT,State Street Corporation,10635,-1.2,2143.0,8.2,242698,21219.0,bb02d7325357dcd79e276b61ce037c93
271,272,DTE Energy,http://www.dteenergy.com,10000,Energy,Utilities: Gas and Electric,"Detroit, MI",1 Energy Plaza,Detroit,MI,48226,313-235-4000,Gerard M. Anderson,Chairman & Chief Executive Officer,"1 Energy Plaza, Detroit, MI 48226",DTE,DTE Energy Company,10630,2.8,868.0,19.4,32041,9011.0,fd46c8c4de451e0d62c83d8f35f3523d
272,273,L3 Technologies,http://www.l3t.com,38000,Aerospace & Defense,Aerospace and Defense,"New York, NY",600 Third Ave.,New York,NY,10016,212-697-1111,Michael T. Strianese,Chairman & Chief Executive Officer,"600 Third Ave., New York, NY 10016",LLL,"L3 Technologies, Inc.",10597,-8.3,710.0,19.4,11865,4553.0,b1383a1fafcc8db30ffd36f2c8cb43f3
273,274,HollyFrontier,http://www.hollyfrontier.com,2676,Energy,Petroleum Refining,"Dallas, TX",2828 N. Harwood,Dallas,TX,75201,214-871-3555,George J. Damiris,"President, Chief Executive Officer & Director","2828 N. Harwood, Dallas, TX 75201",HFC,HollyFrontier Corporation,10536,-20.4,-260.5,-135.2,9436,4681.0,06287de9ab00da90f634c262be0e9dfc
274,275,Praxair,http://www.praxair.com,26498,Chemicals,Chemicals,"Danbury, CT",10 Riverview Dr.,Danbury,CT,6810,203-837-2000,Stephen F. Angel,Chairman & Chief Executive Officer,"10 Riverview Dr., Danbury, CT 06810",PX,"Praxair, Inc.",10534,-2.2,1500.0,-3.0,19332,5021.0,f381310af855154b150b67469f4dfcf3
275,276,Universal Health Services,http://www.uhsinc.com,70863,Health Care,Health Care: Medical Facilities,"King of Prussia, PA",367 S. Gulph Rd.,King of Prussia,PA,19406,610-768-3300,Alan B. Miller,Chairman & Chief Executive Officer,"367 S. Gulph Rd., King of Prussia, PA 19406",UHS,"Universal Health Services, Inc.",10508,7.4,702.4,3.2,10318,4533.0,1a4242171d767beee36ecb6d47f59bd2
276,277,Discover Financial Services,http://www.discover.com,15549,Financials,Commercial Banks,"Riverwoods, IL",2500 Lake Cook Rd.,Riverwoods,IL,60015,224-405-0900,David W. Nelms,Chairman & Chief Executive Officer,"2500 Lake Cook Rd., Riverwoods, IL 60015",DFS,Discover Financial Services,10497,4.9,2393.0,4.2,92308,11323.0,0a78f0b4a8c64d29a939db097801061b
277,278,Occidental Petroleum,http://www.oxy.com,11000,Energy,"Mining, Crude-Oil Production","Houston, TX",5 Greenway Plaza,Houston,TX,77046,713-215-7000,Vicki A. Hollub,"President, Chief Executive Officer & Director","5 Greenway Plaza, Houston, TX 77046",OXY,Occidental Petroleum Corporation,10398,-18.1,-574.0,4.2,43109,21497.0,990bd40d850d07e4b6292f5050fa93ca
278,279,United States Steel,http://www.ussteel.com,29800,Materials,Metals,"Pittsburgh, PA",600 Grant St.,Pittsburgh,PA,15219,412-433-1121,David B. Burritt,"President, Chief Executive Officer & Director","600 Grant St., Pittsburgh, PA 15219",X,United States Steel Corporation,10261,-11.3,-440.0,4.2,9160,2274.0,a5cc9a51a34eee47a25a503edf1fd685
279,280,Sempra Energy,http://www.sempra.com,16575,Energy,Utilities: Gas and Electric,"San Diego, CA",488 Eighth Ave.,San Diego,CA,92101,619-696-2000,Debra L. Reed,Chairman & Chief Executive Officer,"488 Eighth Ave., San Diego, CA 92101",SRE,Sempra Energy,10183,-0.5,1370.0,1.6,47786,12951.0,deff75c7e170fcf2ac4160cd7930c1e1
280,281,Baxter International,http://www.baxter.com,48000,Health Care,Medical Products and Equipment,"Deerfield, IL",1 Baxter Pkwy.,Deerfield,IL,60015,224-948-2000,Jose E. Almeida,"Chairman, President & Chief Executive Officer","1 Baxter Pkwy., Deerfield, IL 60015",BAX,Baxter International Inc.,10163,2.0,4965.0,412.9,15546,8290.0,0fc0ae6ca2366860f0f5ba1bef5e60b9
281,282,W.W. Grainger,http://www.grainger.com,25000,Wholesalers,Wholesalers: Diversified,"Lake Forest, IL",100 Grainger Pkwy.,Lake Forest,IL,60045,847-535-1000,D.G. Macpherson,Chief Executive Officer & Director,"100 Grainger Pkwy., Lake Forest, IL 60045",GWW,"W.W. Grainger, Inc.",10137,1.6,605.9,-21.2,5694,1798.0,a8acaf5f3a28ba04b0d37a9b49943b8a
282,283,Autoliv,http://www.autoliv.com,65900,Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, MI",1320 Pacific Dr.,Auburn Hills,MI,48326,248-475-9000,Jan Carlson,"Chairman, President & Chief Executive Officer","1320 Pacific Dr., Auburn Hills, MI 48326",ALV,"Autoliv, Inc.",10074,9.9,567.1,24.1,8234,3677.0,c642592029f8e890e6e9adf782e1850a
283,284,Norfolk Southern,http://www.nscorp.com,27856,Transportation,Railroads,"Norfolk, VA",3 Commercial Place,Norfolk,VA,23510,757-629-2680,James A. Squires,"Chairman, President & Chief Executive Officer","3 Commercial Place, Norfolk, VA 23510",NSC,Norfolk Southern Corporation,9888,-5.9,1668.0,7.2,34892,12409.0,c58cd0c5844755ecf6ac89b38078d73c
284,285,Baker Hughes,http://www.bakerhughes.com,33000,Energy,"Oil and Gas Equipment, Services","Houston, TX",17021 Aldine Westfield Rd.,Houston,TX,77073,713-439-8600,Martin S. Craighead,"Chairman, President & Chief Executive Officer","17021 Aldine Westfield Rd., Houston, TX 77073",BHI,Baker Hughes Incorporated,9841,-37.5,-2738.0,7.2,19034,12656.0,8a84c8d0de97164b2889cd96559efdd7
285,286,Ally Financial,http://www.ally.com,7600,Financials,Diversified Financials,"Detroit, MI",500 Woodward Ave.,Detroit,MI,48226,866-710-4623,Jeffrey J. Brown,Chief Executive Officer & Director,"500 Woodward Ave., Detroit, MI 48226",ALLY,Ally Financial Inc.,9835,3.1,1067.0,-17.2,163728,13317.0,d39279e74c64ef090c93acb50d54f746
